nome;estacao_cod;latitude;longitude;data;max_temp;min_temp;amplitude
BARBACENA;A502;-21.228333;-43.767778;2020-04-16;22.20;16.50;5.70
BARBACENA;A502;-21.228333;-43.767778;2020-04-17;23.00;16.40;6.60
BARBACENA;A502;-21.228333;-43.767778;2020-04-18;18.70;13.80;4.90
BARBACENA;A502;-21.228333;-43.767778;2020-04-19;19.60;13.80;5.80
BARBACENA;A502;-21.228333;-43.767778;2020-04-20;22.70;13.00;9.70
BARBACENA;A502;-21.228333;-43.767778;2020-04-21;24.60;11.80;12.80
BARBACENA;A502;-21.228333;-43.767778;2020-04-22;23.60;12.80;10.80
BARBACENA;A502;-21.228333;-43.767778;2020-04-23;24.30;13.70;10.60
BARBACENA;A502;-21.228333;-43.767778;2020-04-24;22.20;15.00;7.20
BARBACENA;A502;-21.228333;-43.767778;2020-04-25;22.50;11.80;10.70
BARBACENA;A502;-21.228333;-43.767778;2020-04-26;24.70;13.70;11.00
BARBACENA;A502;-21.228333;-43.767778;2020-04-27;22.60;13.40;9.20
BARBACENA;A502;-21.228333;-43.767778;2020-04-28;21.80;11.10;10.70
BARBACENA;A502;-21.228333;-43.767778;2020-04-29;23.70;12.10;11.60
BARBACENA;A502;-21.228333;-43.767778;2020-04-30;24.00;13.00;11.00
BARBACENA;A502;-21.228333;-43.767778;2020-05-01;25.60;12.70;12.90
BARBACENA;A502;-21.228333;-43.767778;2020-05-02;25.20;13.30;11.90
BARBACENA;A502;-21.228333;-43.767778;2020-05-03;20.50;13.40;7.10
BARBACENA;A502;-21.228333;-43.767778;2020-05-04;21.10;9.70;11.40
BARBACENA;A502;-21.228333;-43.767778;2020-05-05;24.90;14.70;10.20
BARBACENA;A502;-21.228333;-43.767778;2020-05-06;24.90;14.80;10.10
BARBACENA;A502;-21.228333;-43.767778;2020-05-07;19.50;13.90;5.60
BARBACENA;A502;-21.228333;-43.767778;2020-05-08;19.60;10.40;9.20
BARBACENA;A502;-21.228333;-43.767778;2020-05-09;19.50;9.90;9.60
BARBACENA;A502;-21.228333;-43.767778;2020-05-10;19.60;10.40;9.20
BARBACENA;A502;-21.228333;-43.767778;2020-05-11;22.80;8.30;14.50
BARBACENA;A502;-21.228333;-43.767778;2020-05-12;23.70;10.90;12.80
BARBACENA;A502;-21.228333;-43.767778;2020-05-13;23.40;13.20;10.20
BARBACENA;A502;-21.228333;-43.767778;2020-05-14;22.30;14.70;7.60
BARBACENA;A502;-21.228333;-43.767778;2020-05-15;17.40;14.10;3.30
BARBACENA;A502;-21.228333;-43.767778;2020-05-16;19.30;13.10;6.20
BARBACENA;A502;-21.228333;-43.767778;2020-05-17;22.90;13.50;9.40
BARBACENA;A502;-21.228333;-43.767778;2020-05-18;23.10;12.60;10.50
BARBACENA;A502;-21.228333;-43.767778;2020-05-19;20.60;13.00;7.60
BARBACENA;A502;-21.228333;-43.767778;2020-05-20;19.90;13.20;6.70
BARBACENA;A502;-21.228333;-43.767778;2020-05-21;22.50;13.00;9.50
BARBACENA;A502;-21.228333;-43.767778;2020-05-22;23.80;12.80;11.00
BARBACENA;A502;-21.228333;-43.767778;2020-05-23;24.20;13.40;10.80
BARBACENA;A502;-21.228333;-43.767778;2020-05-24;20.70;16.00;4.70
BARBACENA;A502;-21.228333;-43.767778;2020-05-25;21.10;13.30;7.80
BARBACENA;A502;-21.228333;-43.767778;2020-05-26;18.80;8.20;10.60
BARBACENA;A502;-21.228333;-43.767778;2020-05-27;20.80;7.30;13.50
BARBACENA;A502;-21.228333;-43.767778;2020-05-28;20.40;6.80;13.60
BARBACENA;A502;-21.228333;-43.767778;2020-05-29;23.10;7.00;16.10
BARBACENA;A502;-21.228333;-43.767778;2020-05-30;23.10;8.90;14.20
BARBACENA;A502;-21.228333;-43.767778;2020-05-31;22.00;9.60;12.40
BARBACENA;A502;-21.228333;-43.767778;2020-06-01;22.60;10.00;12.60
BARBACENA;A502;-21.228333;-43.767778;2020-06-02;23.40;9.90;13.50
BARBACENA;A502;-21.228333;-43.767778;2020-06-03;25.50;11.20;14.30
BARBACENA;A502;-21.228333;-43.767778;2020-06-04;20.50;14.50;6.00
BARBACENA;A502;-21.228333;-43.767778;2020-06-05;21.30;13.90;7.40
BARBACENA;A502;-21.228333;-43.767778;2020-06-06;24.50;12.60;11.90
BARBACENA;A502;-21.228333;-43.767778;2020-06-07;20.40;12.70;7.70
BARBACENA;A502;-21.228333;-43.767778;2020-06-08;26.00;12.30;13.70
BARBACENA;A502;-21.228333;-43.767778;2020-06-09;26.40;12.30;14.10
BARBACENA;A502;-21.228333;-43.767778;2020-06-10;26.30;14.50;11.80
BARBACENA;A502;-21.228333;-43.767778;2020-06-11;26.20;14.70;11.50
BARBACENA;A502;-21.228333;-43.767778;2020-06-12;27.30;15.20;12.10
BARBACENA;A502;-21.228333;-43.767778;2020-06-13;26.90;14.90;12.00
BARBACENA;A502;-21.228333;-43.767778;2020-06-14;22.60;12.70;9.90
BARBACENA;A502;-21.228333;-43.767778;2020-06-15;20.50;14.10;6.40
BARBACENA;A502;-21.228333;-43.767778;2020-06-16;18.60;13.70;4.90
BARBACENA;A502;-21.228333;-43.767778;2020-06-17;15.90;11.90;4.00
BARBACENA;A502;-21.228333;-43.767778;2020-06-18;20.90;10.90;10.00
BARBACENA;A502;-21.228333;-43.767778;2020-06-19;24.40;9.30;15.10
BARBACENA;A502;-21.228333;-43.767778;2020-06-20;24.90;14.30;10.60
BARBACENA;A502;-21.228333;-43.767778;2020-06-21;24.10;12.90;11.20
BARBACENA;A502;-21.228333;-43.767778;2020-06-22;23.20;10.60;12.60
BARBACENA;A502;-21.228333;-43.767778;2020-06-23;21.20;10.80;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-06-24;22.60;8.60;14.00
BARBACENA;A502;-21.228333;-43.767778;2020-06-25;24.00;11.30;12.70
BARBACENA;A502;-21.228333;-43.767778;2020-06-26;24.70;12.00;12.70
BARBACENA;A502;-21.228333;-43.767778;2020-06-27;23.30;12.70;10.60
BARBACENA;A502;-21.228333;-43.767778;2020-06-28;20.60;11.30;9.30
BARBACENA;A502;-21.228333;-43.767778;2020-06-29;18.60;11.50;7.10
BARBACENA;A502;-21.228333;-43.767778;2020-06-30;21.50;12.70;8.80
BARBACENA;A502;-21.228333;-43.767778;2020-07-01;23.80;12.40;11.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-02;24.10;13.40;10.70
BARBACENA;A502;-21.228333;-43.767778;2020-07-03;23.20;13.40;9.80
BARBACENA;A502;-21.228333;-43.767778;2020-07-04;18.50;11.50;7.00
BARBACENA;A502;-21.228333;-43.767778;2020-07-05;22.30;13.60;8.70
BARBACENA;A502;-21.228333;-43.767778;2020-07-06;25.40;11.40;14.00
